Date,CustomerName,Region,Category,Product,Quantity,UnitPrice,Amount,DiscountRate,TotalAmount,Profit,PaymentMode
2020-01-01,Customer_50,North,Accessories,Keyboard,2,37114,74228,0.14,63836.08,10403.64,Credit Card
2020-01-01,Customer_17,West,Accessories,Keyboard,4,25960,103840,0.06,97609.6,6958.36,UPI
2020-01-01,Customer_31,East,Electronics,Monitor,1,24733,24733,0.12,21765.04,4653.91,Debit Card
2020-01-02,Customer_43,North,Accessories,Keyboard,3,14345,43035,0.02,42174.3,4086.91,Net Banking
2020-01-02,Customer_39,East,Electronics,Monitor,5,1108,5540,0.14,4764.4,685.95,Cash
2020-01-02,Customer_19,South,Electronics,Laptop,2,6278,12556,0.04,12053.76,780.67,Credit Card
2020-01-02,Customer_19,North,Electronics,Monitor,2,14648,29296,0.1,26366.4,4092.74,Debit Card
2020-01-03,Customer_10,West,Electronics,Laptop,4,45037,180148,0.07,167537.64,33922.79,Cash
2020-01-03,Customer_18,West,Electronics,Printer,4,15071,60284,0.01,59681.16,8618.17,Net Banking
2020-01-03,Customer_49,South,Accessories,Keyboard,3,10723,32169,0.12,28308.72,2213.05,Credit Card
2020-01-03,Customer_17,West,Accessories,Keyboard,3,48889,146667,0.09,133466.97,9813.34,UPI
2020-01-04,Customer_32,South,Electronics,Printer,3,43990,131970,0.09,120092.7,29178.72,Credit Card
2020-01-04,Customer_18,North,Electronics,Laptop,3,13630,40890,0.02,40072.2,3074.41,Net Banking
2020-01-04,Customer_38,South,Electronics,Printer,3,23585,70755,0.08,65094.6,5836.49,Cash
2020-01-04,Customer_34,South,Electronics,Monitor,4,3123,12492,0.06,11742.48,1410.0,Cash
2020-01-04,Customer_31,West,Accessories,Keyboard,2,46706,93412,0.13,81268.44,16758.16,Debit Card
2020-01-04,Customer_42,East,Accessories,Headphones,4,13369,53476,0.12,47058.88,10476.32,Net Banking
2020-01-04,Customer_24,South,Accessories,Headphones,4,32419,129676,0.0,129676.0,11116.57,UPI
2020-01-05,Customer_26,East,Electronics,Monitor,1,17977,17977,0.13,15639.99,3871.49,Debit Card
2020-01-05,Customer_15,East,Electronics,Smartphone,2,23760,47520,0.05,45144.0,6478.97,Cash
2020-01-05,Customer_16,North,Accessories,Mouse,3,34531,103593,0.01,102557.07,13260.6,Debit Card
2020-01-05,Customer_4,West,Accessories,Keyboard,2,1243,2486,0.12,2187.68,462.99,Debit Card
2020-01-05,Customer_26,West,Accessories,Mouse,4,20649,82596,0.04,79292.16,16653.16,Debit Card
2020-01-05,Customer_2,West,Electronics,Laptop,4,9583,38332,0.14,32965.52,7602.18,Credit Card
2020-01-05,Customer_31,West,Accessories,Mouse,3,30538,91614,0.12,80620.32,9299.67,Net Banking
2020-01-06,Customer_16,South,Accessories,Headphones,4,9900,39600,0.14,34056.0,4070.84,UPI
2020-01-06,Customer_32,North,Accessories,Headphones,4,24645,98580,0.05,93651.0,7514.34,UPI
2020-01-06,Customer_31,South,Electronics,Monitor,3,39650,118950,0.1,107055.0,21813.34,Cash
2020-01-07,Customer_32,West,Electronics,Printer,2,46182,92364,0.08,84974.88,17088.87,Cash
2020-01-07,Customer_11,East,Electronics,Smartphone,2,16407,32814,0.11,29204.46,6261.84,Cash
2020-01-07,Customer_37,East,Accessories,Keyboard,5,34165,170825,0.14,146909.5,24590.41,Net Banking
2020-01-07,Customer_29,North,Electronics,Printer,3,26663,79989,0.08,73589.88,6154.62,Cash
2020-01-07,Customer_16,East,Accessories,Keyboard,2,23073,46146,0.04,44300.16,5502.34,Net Banking
2020-01-08,Customer_21,South,Electronics,Smartphone,3,29680,89040,0.04,85478.4,17924.56,UPI
2020-01-08,Customer_47,South,Electronics,Laptop,1,34372,34372,0.07,31965.96,5428.55,Credit Card
2020-01-08,Customer_23,South,Electronics,Monitor,3,43780,131340,0.13,114265.8,15650.32,Debit Card
2020-01-08,Customer_11,East,Electronics,Smartphone,1,45588,45588,0.11,40573.32,3643.53,Cash
2020-01-09,Customer_6,West,Accessories,Headphones,1,19799,19799,0.11,17621.11,3937.24,UPI
2020-01-09,Customer_50,South,Electronics,Monitor,5,43204,216020,0.03,209539.4,14208.97,UPI
2020-01-09,Customer_28,South,Accessories,Mouse,4,13989,55956,0.07,52039.08,6599.15,Credit Card
2020-01-10,Customer_7,South,Accessories,Keyboard,5,29199,145995,0.13,127015.65,13335.27,Credit Card
2020-01-10,Customer_29,East,Electronics,Smartphone,2,40078,80156,0.06,75346.64,15768.21,UPI
2020-01-10,Customer_2,North,Accessories,Headphones,4,4890,19560,0.09,17799.6,2335.68,Debit Card
2020-01-10,Customer_42,East,Electronics,Monitor,3,19295,57885,0.02,56727.3,9133.19,Cash
2020-01-11,Customer_39,North,Electronics,Printer,4,14353,57412,0.1,51670.8,7970.82,Credit Card
2020-01-11,Customer_12,East,Electronics,Printer,1,49184,49184,0.01,48692.16,6361.28,Debit Card
2020-01-11,Customer_39,North,Electronics,Smartphone,1,38348,38348,0.12,33746.24,6949.84,UPI
2020-01-11,Customer_10,West,Electronics,Printer,3,33968,101904,0.13,88656.48,13188.75,Debit Card
2020-01-12,Customer_42,South,Accessories,Headphones,4,15874,63496,0.08,58416.32,12276.38,Net Banking
2020-01-12,Customer_42,West,Electronics,Laptop,4,26064,104256,0.08,95915.52,14927.29,Net Banking
2020-01-12,Customer_9,South,Electronics,Printer,3,19596,58788,0.01,58200.12,3272.95,Credit Card
2020-01-12,Customer_17,West,Electronics,Monitor,5,49092,245460,0.09,223368.6,55801.6,Debit Card
2020-01-12,Customer_2,North,Electronics,Printer,4,2468,9872,0.11,8786.08,1774.8,Debit Card
2020-01-12,Customer_3,West,Electronics,Laptop,3,42725,128175,0.15,108948.75,18464.91,Net Banking
2020-01-12,Customer_26,West,Accessories,Headphones,3,13866,41598,0.1,37438.2,7284.47,Credit Card
2020-01-13,Customer_18,South,Accessories,Keyboard,3,30657,91971,0.11,81854.19,17871.99,Debit Card
2020-01-13,Customer_31,South,Accessories,Headphones,1,17479,17479,0.01,17304.21,2522.65,Credit Card
2020-01-13,Customer_41,West,Electronics,Printer,5,24945,124725,0.07,115994.25,24149.88,Credit Card
2020-01-13,Customer_45,North,Electronics,Printer,3,10248,30744,0.12,27054.72,2960.85,UPI
2020-01-13,Customer_35,West,Accessories,Keyboard,5,1239,6195,0.12,5451.6,1133.7,Net Banking
2020-01-14,Customer_42,North,Accessories,Keyboard,5,41869,209345,0.08,192597.4,44791.86,Credit Card
2020-01-14,Customer_17,South,Electronics,Monitor,1,2651,2651,0.1,2385.9,177.45,Cash
2020-01-14,Customer_7,South,Electronics,Monitor,3,25658,76974,0.05,73125.3,7674.55,Cash
2020-01-14,Customer_40,East,Accessories,Keyboard,4,20924,83696,0.13,72815.52,11390.54,Cash
2020-01-14,Customer_17,South,Accessories,Mouse,4,25865,103460,0.08,95183.2,14405.61,Debit Card
2020-01-14,Customer_11,West,Electronics,Monitor,5,7027,35135,0.07,32675.55,2585.26,Debit Card
2020-01-14,Customer_11,West,Electronics,Laptop,2,31690,63380,0.03,61478.6,3894.11,Cash
2020-01-15,Customer_45,West,Electronics,Smartphone,4,18513,74052,0.11,65906.28,5896.06,UPI
2020-01-15,Customer_15,West,Electronics,Laptop,1,21609,21609,0.01,21392.91,4878.28,Debit Card
2020-01-15,Customer_29,South,Accessories,Mouse,4,47906,191624,0.04,183959.04,28646.86,Cash
2020-01-16,Customer_50,South,Electronics,Laptop,1,39872,39872,0.08,36682.24,8194.78,Debit Card
2020-01-16,Customer_30,East,Electronics,Monitor,5,29509,147545,0.06,138692.3,20674.16,Debit Card
2020-01-16,Customer_49,South,Electronics,Monitor,5,39405,197025,0.02,193084.5,24260.33,Credit Card
2020-01-16,Customer_27,West,Electronics,Smartphone,4,33762,135048,0.03,130996.56,18113.33,Debit Card
2020-01-16,Customer_38,East,Electronics,Printer,2,21083,42166,0.06,39636.04,5747.89,Net Banking
2020-01-16,Customer_47,North,Electronics,Smartphone,2,34845,69690,0.14,59933.4,14879.67,UPI
2020-01-17,Customer_28,East,Accessories,Mouse,2,15006,30012,0.02,29411.76,4351.58,Debit Card
2020-01-17,Customer_50,North,Electronics,Monitor,5,48497,242485,0.08,223086.2,21451.71,Credit Card
2020-01-17,Customer_10,North,Electronics,Laptop,4,35905,143620,0.01,142183.8,16436.36,Cash
2020-01-17,Customer_47,West,Accessories,Keyboard,3,47712,143136,0.02,140273.28,34694.71,Credit Card
2020-01-17,Customer_6,East,Electronics,Smartphone,4,33401,133604,0.14,114899.44,15271.4,Debit Card
2020-01-17,Customer_16,North,Electronics,Laptop,5,18490,92450,0.14,79507.0,19181.13,Credit Card
2020-01-17,Customer_34,West,Accessories,Mouse,2,29819,59638,0.02,58445.24,13139.41,Credit Card
2020-01-18,Customer_21,West,Electronics,Smartphone,5,28557,142785,0.03,138501.45,17996.88,Debit Card
2020-01-18,Customer_41,West,Accessories,Mouse,5,45946,229730,0.07,213648.9,41599.6,UPI
2020-01-18,Customer_3,East,Accessories,Headphones,1,26255,26255,0.14,22579.3,3539.98,UPI
2020-01-18,Customer_42,North,Electronics,Smartphone,2,25197,50394,0.06,47370.36,6122.17,Net Banking
2020-01-19,Customer_28,East,Electronics,Monitor,1,35766,35766,0.08,32904.72,4704.87,Net Banking
2020-01-19,Customer_34,West,Accessories,Mouse,3,28274,84822,0.08,78036.24,10261.3,Debit Card
2020-01-19,Customer_1,South,Accessories,Mouse,5,25635,128175,0.02,125611.5,28395.88,Debit Card
2020-01-19,Customer_45,North,Accessories,Headphones,2,39893,79786,0.05,75796.7,9719.42,Debit Card
2020-01-19,Customer_42,North,Accessories,Mouse,3,34689,104067,0.06,97822.98,6853.52,Credit Card
2020-01-19,Customer_49,East,Accessories,Headphones,2,35469,70938,0.06,66681.72,11838.76,Credit Card
2020-01-20,Customer_16,West,Accessories,Mouse,2,44082,88164,0.04,84637.44,16717.19,Credit Card
2020-01-20,Customer_33,North,Electronics,Printer,1,12240,12240,0.12,10771.2,1965.53,Credit Card
2020-01-20,Customer_49,East,Accessories,Headphones,4,7007,28028,0.09,25505.48,5296.64,Debit Card
2020-01-21,Customer_18,East,Accessories,Headphones,4,31296,125184,0.1,112665.6,18661.74,Net Banking
2020-01-21,Customer_4,South,Accessories,Mouse,1,12430,12430,0.08,11435.6,1239.93,UPI
2020-01-21,Customer_26,East,Accessories,Mouse,5,36832,184160,0.05,174952.0,38270.51,Cash
2020-01-21,Customer_29,South,Electronics,Laptop,1,29927,29927,0.09,27233.57,4091.79,Cash
2020-01-21,Customer_44,East,Electronics,Printer,1,12332,12332,0.04,11838.72,1968.14,Debit Card
2020-01-21,Customer_35,South,Electronics,Printer,2,24934,49868,0.02,48870.64,7690.64,Debit Card
2020-01-22,Customer_31,West,Electronics,Monitor,5,7280,36400,0.1,32760.0,3329.53,Cash
2020-01-22,Customer_32,West,Electronics,Printer,4,41827,167308,0.03,162288.76,31501.53,Net Banking
2020-01-22,Customer_24,North,Electronics,Smartphone,3,37142,111426,0.13,96940.62,22571.08,Cash
2020-01-22,Customer_17,West,Accessories,Headphones,5,39242,196210,0.09,178551.1,10581.97,UPI
2020-01-22,Customer_17,West,Electronics,Laptop,5,40535,202675,0.0,202675.0,25413.33,UPI
2020-01-23,Customer_19,West,Electronics,Smartphone,4,27516,110064,0.0,110064.0,26103.4,Net Banking
2020-01-23,Customer_29,West,Electronics,Smartphone,2,46880,93760,0.13,81571.2,6111.51,Debit Card
2020-01-23,Customer_15,East,Accessories,Keyboard,2,29333,58666,0.14,50452.76,5981.68,Cash
2020-01-23,Customer_35,East,Accessories,Mouse,3,10762,32286,0.06,30348.84,6280.92,Debit Card
2020-01-23,Customer_9,South,Electronics,Printer,3,36527,109581,0.05,104101.95,14930.13,UPI
2020-01-23,Customer_8,North,Accessories,Mouse,3,4264,12792,0.09,11640.72,1523.7,UPI
2020-01-23,Customer_47,North,Electronics,Smartphone,5,3241,16205,0.09,14746.55,1473.22,Debit Card
2020-01-24,Customer_20,North,Electronics,Printer,4,8096,32384,0.08,29793.28,4096.75,UPI
